window,ratio,views,subs,published,age_days,duration,channel,title,url,channel_url
recent,161.4,1168644,7240,2026-08-12,15,1:52,쇼츠다이노,복수에 성공한 알로사우루스에게 닥친 또 다른 위협 #공룡,https://www.youtube.com/watch?v=U723VEBG788,https://www.youtube.com/channel/UC4yFwlmBz21aQCjX-TRBeXA
recent,101.6,345503,3400,2026-08-15,11,1:33,Hamaru,심해에 떠 있는 거대 석유 시추선이 버티는 놀라운 원리,https://www.youtube.com/watch?v=esrpB0wDXyU,https://www.youtube.com/channel/UCf0ZBHYlDkJbvoPgiXHMI0A
recent,99.3,342452,3450,2026-07-30,27,10:31,World Ai Ki Duniya ,🦖 गाँव में आया खतरनाक डायनासोर 😱 | पूरा गाँव खतरे में | Dinosaur Attack in Village | Hindi Story ,https://www.youtube.com/watch?v=Ma0DCpKPqbs,https://www.youtube.com/channel/UCyfWCYhq7NWNJEauFtgNlkw
recent,94.2,682284,7240,2026-08-01,25,1:40,쇼츠다이노,"공룡 멸종의 날, 티라노사우루스와 트루돈이 맞이한 비극적 결말  #공룡",https://www.youtube.com/watch?v=nxy3NdjjOfs,https://www.youtube.com/channel/UC4yFwlmBz21aQCjX-TRBeXA
recent,90.2,4682370,51900,2026-08-04,22,1:01,Satwa Files,"2050 Nanti, Hewan Ini Mungkin Sudah Tidak Ada!",https://www.youtube.com/watch?v=__ZcBSjhZIM,https://www.youtube.com/channel/UCISsfRJP0RqqS_5naJ7gXOA
recent,80.7,356638,4420,2026-08-04,22,2:37,내손바닥,얼떨결에 안킬로사우루스의 아빠가 된 티라노사우루스,https://www.youtube.com/watch?v=coYDga4_GnU,https://www.youtube.com/channel/UCe3oLAx7qmPjHPH6F78mvNg
recent,67.1,731170,10900,2026-08-02,24,1:01,바로 대한민국,무작정 돈을 쏟아붓는 대신 자연의 균형을 택한 레전드 대한민국의 위엄,https://www.youtube.com/watch?v=iZK-H4gOlvc,https://www.youtube.com/channel/UC4KEurYrvj65aSVk0bc-wCw
recent,49.4,285590,5780,2026-08-01,25,1:58,스라소니,전 세계가 포기한 괴물 물고기 한국 아재들이 한번에 해결하자,https://www.youtube.com/watch?v=jSR9T3zFBWY,https://www.youtube.com/channel/UCGgMoT6647_2WGx-bh3b6oQ
recent,47.9,346885,7240,2026-08-08,18,1:23,쇼츠다이노,티라노사우루수의 가족을 위한 복수  #공룡,https://www.youtube.com/watch?v=s-ePAAfKM8w,https://www.youtube.com/channel/UC4yFwlmBz21aQCjX-TRBeXA
recent,40.0,113958,2850,2026-08-19,7,1:09,초점너머,고래가 죽으면 심해에 마을이 생깁니다,https://www.youtube.com/watch?v=qH1f9sOC3SM,https://www.youtube.com/channel/UCcuy32Wn2sjaYh_i8CkdYiQ
recent,34.6,250722,7240,2026-07-30,27,1:34,쇼츠다이노,절망 속 살아남은 푸에르타사우루스와 몰락한 최상위 포식자 마푸사우루스 #공룡,https://www.youtube.com/watch?v=0att3opn2Ro,https://www.youtube.com/channel/UC4yFwlmBz21aQCjX-TRBeXA
recent,33.8,244928,7240,2026-08-08,18,1:17,쇼츠다이노,도둑 공룡과 폭풍우를 이겨낸 티라노사우루스의 알들 #공룡,https://www.youtube.com/watch?v=MGG2ecx7VmE,https://www.youtube.com/channel/UC4yFwlmBz21aQCjX-TRBeXA
recent,32.3,42262,1310,2026-08-03,23,1:05,King Tatum,"눈앞에서 사라진 거대 물고기, 다시 돌아온 이유는? #심해의비밀 #거대생물 #바다낚시 #낚시영상 #자연다큐",https://www.youtube.com/watch?v=Pc1g-wK59HI,https://www.youtube.com/channel/UClICvdK5H5yVUg_4e0Ba6hg
