window,ratio,views,subs,published,age_days,duration,channel,title,url,channel_url
recent,161.4,1168515,7240,2026-08-12,15,1:52,쇼츠다이노,복수에 성공한 알로사우루스에게 닥친 또 다른 위협 #공룡,https://www.youtube.com/watch?v=U723VEBG788,https://www.youtube.com/channel/UC4yFwlmBz21aQCjX-TRBeXA
recent,156.5,169007,1080,2026-07-28,29,1:06:50, Dino and Friends,🦖 T-Rex Dinosaur Adventures 🦖 Dino & Friends Episodes 1–5 | Fun Dinosaur Cartoon for Kids ⭐,https://www.youtube.com/watch?v=smctrtIcFk8,https://www.youtube.com/channel/UCW9uHUzvK-yQQMhMMnJ0HHQ
recent,101.6,345378,3400,2026-08-15,11,1:33,Hamaru,심해에 떠 있는 거대 석유 시추선이 버티는 놀라운 원리,https://www.youtube.com/watch?v=esrpB0wDXyU,https://www.youtube.com/channel/UCf0ZBHYlDkJbvoPgiXHMI0A
older,921.3,2330776,2530,2021-07-09,1874,8:51,디팔 DIPAL,서브노티카 빌로우제로 가장 거대한 생물  TOP5,https://www.youtube.com/watch?v=phrU_rwD7W4,https://www.youtube.com/channel/UC7Wzbb7Zi9p2e0ExhxIr4lw
older,263.3,410751,1560,2019-03-25,2712,3:06,공룡갤러리 dinosaur gallery,herbivorous dinosaur size comparison,https://www.youtube.com/watch?v=F38qed59UWg,https://www.youtube.com/channel/UCVKvxjaxcKgFm7BEUw__2gg
older,254.8,272655,1070,2024-07-04,783,1:35,톰토미 (TOMTOMI) - Topic,스피노 사우루스 송,https://www.youtube.com/watch?v=loHcUx3Vuas,https://www.youtube.com/channel/UCgSiHUNrmTKPdl6iuCtnf0w
older,240.3,4590093,19100,2023-04-24,1220,20:21,AlecRaptor1,Evolution of T-Rex in Movies and T.V Size Comparison(Edited),https://www.youtube.com/watch?v=O5XwDGotwdg,https://www.youtube.com/channel/UCOJaz1SOQDuQpmumZrptgFQ
older,233.8,35998561,154000,2020-12-26,2069,10:06,Mr. Fishing,"Modern Fast Squid Fishing Technology on Big Boat, Amazing Traditional Big Squid Fishing Skill",https://www.youtube.com/watch?v=cbqGEHxG2Ps,https://www.youtube.com/channel/UCpWUELiMoK3O8g54ZtScA0g
older,224.5,35471338,158000,2022-11-25,1370,11:08,슈퍼다이노TV,[슈퍼다이노] 🦖20화 본편｜엄마를 잃어버린 아기 티라노,https://www.youtube.com/watch?v=Pe9idWOXyXo,https://www.youtube.com/channel/UCGSevEnKk0mjU_NG_IxnmjQ
older,221.0,111599420,505000,2019-12-21,2440,14:06,Ikhlaas MJ,Spinosaurus Vs Indominus Rex | Animated Short Film,https://www.youtube.com/watch?v=kySOnK_hBLY,https://www.youtube.com/channel/UCsaHuNepJioTKh7wgWSa-yg
older,220.3,2062188,9360,2026-04-18,130,1:03,퍽하,버그로 맵 탐험중 마주친 거대 생명체 ㄷㄷ #붉은사막,https://www.youtube.com/watch?v=TTy8Br8-lgo,https://www.youtube.com/channel/UCHfSXqrB5OxO4eXAQY5NP0w
older,200.0,6921168,34600,2020-12-07,2088,4:31,키즈팝,공룡이 궁금해? 티라노사우루스 | 브라키오사우루스 | 트리케라톱스 | 공룡 총집합 | 무시무시한 공룡송 | 키즈팝,https://www.youtube.com/watch?v=V4kG95Hob0M,https://www.youtube.com/channel/UCDoU3aQ3eajjPCO7RHtrwLA
older,186.4,6448423,34600,2020-12-30,2065,16:31,키즈팝,공룡 상어가 궁금해?  | 티라노사우루스 | 경찰상어 | 크리스마스 아기상어 | 인기동요 모음 | 키즈팝,https://www.youtube.com/watch?v=MufzoyxtUkI,https://www.youtube.com/channel/UCDoU3aQ3eajjPCO7RHtrwLA
older,185.0,47550877,257000,2022-07-23,1495,5:55,FTR - Toy Collector & Gaming,Jurassic World The Ride - Front Row On-Ride POV Universal Studios Hollywood 2022,https://www.youtube.com/watch?v=cU15zNoCBAk,https://www.youtube.com/channel/UCE0cWpq6A-JQbn341mnfcvw
older,165.2,257723,1560,2019-03-25,2712,1:41,공룡갤러리 dinosaur gallery,carnivorous dinosaur size comparison,https://www.youtube.com/watch?v=bX9m-2ynyG8,https://www.youtube.com/channel/UCVKvxjaxcKgFm7BEUw__2gg
older,159.0,247991,1560,2019-03-21,2715,2:31,공룡갤러리 dinosaur gallery,ichthyosaur size comparison,https://www.youtube.com/watch?v=nIsxVllk2z8,https://www.youtube.com/channel/UCVKvxjaxcKgFm7BEUw__2gg
older,153.7,32888084,214000,2023-06-29,1154,26:31,DINO DUELS,RELEASE ALL 86 MAX EGG TERRESTRIAL DINOSAURS  - Jurassic World Evolution 2,https://www.youtube.com/watch?v=v2BFelvJDcs,https://www.youtube.com/channel/UCBY5EPegGAtdkLEVRgxz5JA
